200,0
199.8026,0.0358
199.2114,0.143
198.2288,0.32
196.8584,0.565
195.1056,0.8754
192.9776,1.2474
190.4828,1.6774
187.6306,2.1608
184.4328,2.6926
180.9016,3.2678
177.0514,3.8808
172.8968,4.5264
168.4548,5.1988
163.7424,5.8922
158.7786,6.6012
153.5826,7.3196
148.1754,8.042
142.578,8.762
136.8124,9.474
130.9016,10.1716
124.869,10.8484
118.7382,11.498
112.5334,12.1136
106.279,12.6884
100,13.2154
93.721,13.6874
87.4666,14.0974
81.2618,14.4386
75.131,14.7046
69.0984,14.8892
63.1876,14.9868
57.422,14.9928
51.8246,14.9034
46.4174,14.7156
41.2214,14.428
36.2576,14.0398
31.5452,13.5516
27.1032,12.9656
22.9486,12.2844
19.0984,11.5122
15.5672,10.6538
12.3694,9.7146
9.5172,8.7008
7.0224,7.6182
4.8944,6.4734
3.1416,5.272
1.7712,4.0196
0.7886,2.721
0.1974,1.3802
0,0
0.1974,-1.3802
0.7886,-2.721
1.7712,-4.0196
3.1416,-5.272
4.8944,-6.4734
7.0224,-7.6182
9.5172,-8.7008
12.3694,-9.7146
15.5672,-10.6538
19.0984,-11.5122
22.9486,-12.2844
27.1032,-12.9656
31.5452,-13.5516
36.2576,-14.0398
41.2214,-14.428
46.4174,-14.7156
51.8246,-14.9034
57.422,-14.9928
63.1876,-14.9868
69.0984,-14.8892
75.131,-14.7046
81.2618,-14.4386
87.4666,-14.0974
93.721,-13.6874
100,-13.2154
106.279,-12.6884
112.5334,-12.1136
118.7382,-11.498
124.869,-10.8484
130.9016,-10.1716
136.8124,-9.474
142.578,-8.762
148.1754,-8.042
153.5826,-7.3196
158.7786,-6.6012
163.7424,-5.8922
168.4548,-5.1988
172.8968,-4.5264
177.0514,-3.8808
180.9016,-3.2678
184.4328,-2.6926
187.6306,-2.1608
190.4828,-1.6774
192.9776,-1.2474
195.1056,-0.8754
196.8584,-0.565
198.2288,-0.32
199.2114,-0.143
199.8026,-0.0358
200,0
